"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
PR,en,"Jews -- Italy -- Drama,Moneylenders -- Drama,Venice (Italy) -- Drama,Comedies",The Merchant of Venice,Text,555,2243,718,https://www.gutenberg.org/ebooks/2243,1564,1616,"Shakespeare, William",1,"January 1, 1623",1,January,1623,6,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",11.5,9.52,6.49,2532,8.3,74.53,10.8,13.5,3.1,0.1278037768921836,0.4941401183377823,4.57,22.0,0.04,103455,138,993,28773.0,22651
PQ,en,"Erotic stories;France -- History -- 15th century -- Fiction;Rais, Gilles de, 1404-1440 -- Fiction;Satanism -- Fiction;Paranormal fiction",Là-bas,Text,553,14323,720,https://www.gutenberg.org/ebooks/14323,1848,1907,"Huysmans, J.-K. (Joris-Karl)",10,"December 10, 2004",12,December,2004,7,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",10.6,11.25,6.75,12865,7.6,71.14,8.8,11.0,3.1,0.05832779625906054,0.5150812387972078,4.97,17.0,0.06,445639,3402,5215,128355.3,89623
PR,en,English drama (Comedy),The Way of the World,Text,551,1292,722,https://www.gutenberg.org/ebooks/1292,1670,1729,"Congreve, William",25,"January 25, 2015",1,January,2015,6,"text/html,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",7.7,9.5,6.34,3722,4.8,83.66,7.2,6.5,3.1,0.09237580968918573,0.5332499410419979,4.72,13.0,0.07,134515,608,2056,37433.7,28497
PR,en,"England -- Social life and customs -- 20th century -- Fiction,Women -- England -- Fiction,Forsyte family (Fictitious characters) -- Fiction,Middle class -- England -- Fiction,Families -- England -- Fiction,England -- Social life and customs -- 19th century -- Fiction,Domestic fiction",The Forsyte Saga - Complete,Text,550,4397,724,https://www.gutenberg.org/ebooks/4397,1867,1933,"Galsworthy, John",14,"June 14, 2006",6,June,2006,8,"text/plain,image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",9.1,10.5,5.65,25469,5.6,81.63,8.0,7.0,3.1,0.07006427327007062,0.4822505066949107,4.84,15.0,0.06,1532361,7105,20380,426178.8,316853
PR,en,"Tragedies,Jews -- Malta -- Drama",The Jew of Malta,Text,547,901,729,https://www.gutenberg.org/ebooks/901,1564,1593,"Marlowe, Christopher",1,May 1997,5,May,1997,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",9.2,11.42,6.31,3309,4.8,83.66,7.2,4.5,3.1,0.13462881451154268,0.4918552638258147,5.05,13.0,0.07,130346,400,1887,34632.0,25793
PR,en,Science fiction,The House on the Borderland,Text,546,10002,730,https://www.gutenberg.org/ebooks/10002,1877,1918,"Hodgson, William Hope",10,"November 10, 2003",11,November,2003,7,"text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",9.3,9.63,6.17,5437,6.4,79.6,8.8,5.5,3.1,0.05147364218466206,0.47223970519847963,4.69,17.0,0.06,238821,1158,2936,68444.1,50912
PR,en,"Salvation Army -- Drama,Children of the rich -- Drama,Didactic drama,Crime -- Drama,Fathers and daughters -- Drama",Major Barbara,Text,546,3790,731,https://www.gutenberg.org/ebooks/3790,1856,1950,"Shaw, Bernard",1,"February, 2003",2,February,2003,6,"text/html; charset=iso-8859-1,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",7.3,9.96,6.13,4031,5.2,77.23,6.4,13.0,3.1,0.08640936786137618,0.5033662974822694,4.85,11.0,0.08,158204,724,2767,44451.0,32605
PQ,en,"Roland (Legendary character) -- Romances;Epic poetry, French -- Translations into English",The Song of Roland,Text,546,391,732,https://www.gutenberg.org/ebooks/391,0,0,Unknown,1,"January, 1996",1,January,1996,6,"text/html,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",12.2,10.85,6.25,3227,7.9,75.54,10.4,9.0,3.1,0.15946041676773057,0.5003291824579864,4.85,21.0,0.05,156953,97,1505,40498.2,32369
PQ,en,Drama,Life Is a Dream,Text,545,2587,733,https://www.gutenberg.org/ebooks/2587,1600,1681,"Calderon de la Barca, Pedro",31,"March 31, 2006",3,March,2006,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",13.8,11.96,7.26,2747,8.7,73.51,11.200000000000001,15.0,3.1,0.07960708289938018,0.5213609196425429,4.99,23.0,0.04,86968,338,744,23067.9,17436
PZ,en,"Oz (Imaginary place) -- Fiction,Fantasy",The Marvelous Land of Oz,Text,544,54,735,https://www.gutenberg.org/ebooks/54,1856,1919,"Baum, L. Frank (Lyman Frank)",1,"February, 1993",2,February,1993,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",9.9,10.73,6.04,4344,6.0,80.62,8.4,11.0,3.1,0.1438024071038538,0.5337373143595852,4.88,16.0,0.06,207468,787,2545,57116.7,42489
PR,en,"England -- Fiction;Brown, Father (Fictitious character) -- Fiction;Clergy -- Fiction;Detective and mystery stories, English;Catholics -- Fiction",The Wisdom of Father Brown,Text,543,223,736,https://www.gutenberg.org/ebooks/223,1874,1936,"Chesterton, G. K. (Gilbert Keith)",1,"February, 1995",2,February,1995,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",10.9,10.39,6.44,8465,8.3,69.11,9.600000000000001,2.5,3.1,0.03873463638187335,0.4711543459261611,4.77,19.0,0.05,341476,1785,3641,97495.2,71640
PN,en,"Science fiction, American -- Periodicals;Science fiction -- Periodicals",Astounding Stories of Super-Science January 1930,Text,541,41481,738,https://www.gutenberg.org/ebooks/41481,0,0,Unknown,25,"November 25, 2012",11,November,2012,8,"application/rdf+xml,image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",7.9,10.19,6.1,8717,5.6,76.22,6.800000000000001,8.5,3.1,0.037050344707437205,0.46457066325745777,4.89,12.0,0.08,359174,1884,5816,100852.2,73514
PC,"en,es","Spanish language -- Textbooks for foreign speakers -- English,Spanish language -- Readers",A First Spanish Reader,Text,539,15353,740,https://www.gutenberg.org/ebooks/15353,1880,0,"Roessler, Erwin W. (Erwin William)",13,"March 13, 2005",3,March,2005,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",10.5,14.36,8.63,11248,7.2,61.33,6.0,7.0,3.1,0.060725283362845224,0.5386133173880466,5.71,10.0,0.1,225477,2517,3905,63081.9,39506
PR,en,Literature -- History and criticism,"The Essays of ""George Eliot"": Complete",Text,539,28289,741,https://www.gutenberg.org/ebooks/28289,1819,1880,"Eliot, George",9,"March 9, 2009",3,March,2009,8,"image/jpeg,text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",18.4,12.54,7.36,14152,14.6,47.46,14.8,8.0,8.8,0.11807214781248161,0.4979543826238048,5.04,32.0,0.03,527396,5525,3253,156049.2,104655
"B,PA",en,"Rhetoric, Ancient;Love -- Early works to 1800;Soul -- Early works to 1800;Classical literature;Rhetoric -- Early works to 1800;Socrates, 470 BC-399 BC;Lysias",Phaedrus,Text,536,1636,747,https://www.gutenberg.org/ebooks/1636,-428,-348,Plato,1,February 1999,2,February,1999,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",15.9,10.8,6.97,4580,12.2,58.96,13.600000000000001,11.5,3.1,0.16507411893437757,0.5194680412927598,4.74,29.0,0.03,180589,1202,1274,53522.1,38132
"PZ,PS",en,"Orphans -- Juvenile fiction,Conduct of life -- Juvenile fiction,Cheerfulness -- Juvenile fiction,Aunts -- Juvenile fiction,Interpersonal relations -- Juvenile fiction,Vermont -- History -- 20th century -- Juvenile fiction",Pollyanna,Text,534,1450,749,https://www.gutenberg.org/ebooks/1450,1868,1920,"Porter, Eleanor H. (Eleanor Hodgman)",1,"September, 1998",9,September,1998,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",7.9,10.08,5.68,5100,4.4,84.68,6.800000000000001,1.5,3.1,0.0981814216796885,0.5301693346020302,4.87,12.0,0.08,271307,873,4357,72739.8,55688
PR,en,"Friendship -- Fiction;Hessen (Hesse, Germany : Province) -- Fiction;Middle class -- Fiction;Bad Nauheim (Germany) -- Fiction;British -- Germany -- Fiction;Married people -- Fiction;Domestic fiction;Adultery -- Fiction",The Good Soldier,Text,534,2775,751,https://www.gutenberg.org/ebooks/2775,1873,1939,"Ford, Ford Madox",1,"August, 2001",8,August,2001,9,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/octet-stream,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",9.7,9.63,6.05,7250,7.9,70.13,9.200000000000001,13.5,3.1,0.07379491831732046,0.5037568063139329,4.64,18.0,0.05,348578,1973,4064,101672.1,75182
PR,en,"Grandfathers -- Fiction,Antique dealers -- Fiction,Didactic fiction,England -- Fiction,Grandparent and child -- Fiction,Gamblers -- Fiction,Domestic fiction,Girls -- Fiction",The Old Curiosity Shop,Text,534,700,753,https://www.gutenberg.org/ebooks/700,1812,1870,"Dickens, Charles",7,"March 7, 2008",3,March,2008,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",12.5,10.86,5.94,16588,8.3,74.53,10.8,19.0,3.1,0.0906479831321859,0.498803003441187,4.8,22.0,0.04,1037397,4966,9534,288724.5,215977
PR,en,"English drama,Man-woman relationships -- Drama",Man and Superman: A Comedy and a Philosophy,Text,533,3328,754,https://www.gutenberg.org/ebooks/3328,1856,1950,"Shaw, Bernard",21,"March 21, 2006",3,March,2006,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",8.8,9.91,6.33,8489,6.8,73.17,8.0,13.5,3.1,0.09198820667211678,0.5217183472024728,4.79,15.0,0.07,329624,2300,4496,95438.7,68761
PQ,fr,French literature,Madame Bovary,Text,531,14155,757,https://www.gutenberg.org/ebooks/14155,1821,1880,"Flaubert, Gustave",26,"November 26, 2004",11,November,2004,8,"text/html,text/rtf,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",12.9,13.69,6.86,16783,7.6,71.14,8.8,28.0,3.1,0.1858018738749709,0.5520667504538458,5.39,17.0,0.06,599538,2686,6208,160988.4,111313
PZ,en,"Fantasy,Goblins -- Juvenile fiction,Fairy tales,Children's stories,Princesses -- Juvenile fiction",The Princess and the Goblin,Text,531,708,759,https://www.gutenberg.org/ebooks/708,1824,1905,"MacDonald, George",1,"November, 1996",11,November,1996,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",8.5,8.93,5.64,3901,6.0,80.62,8.4,1.5,3.1,0.09893567367046213,0.5039647325463663,4.57,16.0,0.06,233013,604,3017,64576.8,50951
PA,en,"Epic poetry, Greek -- Translations into English;Odysseus (Greek mythology) -- Poetry;Homer -- Translations into English",The Odyssey,Text,529,3160,760,https://www.gutenberg.org/ebooks/3160,-750,-650,Homer,1,"April, 2002",4,April,2002,7,"text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",14.6,12.13,6.36,11740,9.1,72.5,11.600000000000001,14.0,3.1,0.12720465681670373,0.532590641354689,5.02,24.0,0.04,608935,1528,4912,161866.8,121231
PS,en,American poetry,Spoon River Anthology,Text,528,1280,762,https://www.gutenberg.org/ebooks/1280,1868,1950,"Masters, Edgar Lee",1,"April, 1998",4,April,1998,7,"text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",12.3,10.51,7.08,4635,8.3,74.53,10.8,5.5,3.1,0.07594229649625198,0.4733555945778791,4.74,22.0,0.04,147836,358,1364,40511.7,31172
PK,en,"India -- Social life and customs -- Fiction;English language -- Textbooks for foreign speakers -- Indic;Tagore, Rabindranath, 1861-1941 -- Translations into English;Short stories, Bengali -- Translations into English",Stories from Tagore,Text,528,33525,763,https://www.gutenberg.org/ebooks/33525,1861,1941,"Tagore, Rabindranath",24,"August 24, 2010",8,August,2010,8,"image/jpeg,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",9.3,10.61,6.38,6008,6.8,73.17,8.0,3.5,3.1,0.09375660116024671,0.49749088569922084,4.86,15.0,0.06,230715,1225,3038,65824.2,47491
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English","The Divine Comedy by Dante, Illustrated, Purgatory, Complete",Text,528,8795,764,https://www.gutenberg.org/ebooks/8795,1265,1321,Dante Alighieri,5,"August 5, 2004",8,August,2004,6,"text/html; charset=iso-8859-1,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",13.3,10.97,7.0,5030,9.1,72.5,11.600000000000001,13.5,3.1,0.11386061975448257,0.487794717507692,4.82,24.0,0.04,176375,260,1517,46422.0,36584
PR,en,"Mowgli (Fictitious character) -- Fiction,India -- Fiction,Jungle animals -- Fiction",The Second Jungle Book,Text,525,1937,768,https://www.gutenberg.org/ebooks/1937,1865,1936,"Kipling, Rudyard",1,"October, 1999",10,October,1999,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",9.5,9.4,6.02,6012,6.8,78.59,9.200000000000001,53.0,3.1,0.04883327316258828,0.44836859459889966,4.6,18.0,0.05,293271,644,3446,80476.2,63730
PR,en,"Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction;Private investigators -- England -- Fiction;Blessing and cursing -- Fiction;Dogs -- Fiction;Dartmoor (England) -- Fiction",The Hound of the Baskervilles,Text,524,3070,769,https://www.gutenberg.org/ebooks/3070,1859,1930,"Doyle, Arthur Conan",1,"February, 2002",2,February,2002,8,"application/rdf+xml,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",8.1,9.1,5.85,5502,5.6,81.63,8.0,8.5,3.1,0.0670261522512151,0.49565361727072155,4.6,15.0,0.06,272373,1307,3769,78099.3,59192
DE,en,"Greece -- Biography -- Early works to 1800,Rome -- Biography -- Early works to 1800",Plutarch: Lives of the noble Grecians and Romans,Text,524,674,770,https://www.gutenberg.org/ebooks/674,46,119,Plutarch,1,"January 1, 1517",1,January,1517,6,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",23.4,11.97,2.8,31379,17.7,44.75,19.200000000000003,18.5,8.8,0.14230231450941924,0.49803435919770667,4.89,43.0,0.02,3616766,24502,16998,1059746.4,740378
PA,en,"Epic poetry, Greek -- Translations into English;Achilles (Mythological character) -- Poetry;Trojan War -- Poetry",The Iliad of Homer: Translated into English Blank Verse by William Cowper,Text,521,16452,774,https://www.gutenberg.org/ebooks/16452,-750,-650,Homer,5,"August 5, 2005",8,August,2005,8,"image/jpeg,text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",13.7,12.07,6.28,16551,8.7,73.51,11.200000000000001,11.0,3.1,0.13454782419134345,0.5301961470271083,5.01,23.0,0.04,872233,3525,7542,231075.0,174002
PZ,en,"Readers,Folklore,History",Fifty Famous Stories Retold,Text,519,18442,776,https://www.gutenberg.org/ebooks/18442,1841,1925,"Baldwin, James",23,"May 23, 2006",5,May,2006,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",6.4,7.71,5.49,2377,4.0,91.11,7.6000000000000005,19.0,3.1,0.16143717472002866,0.5367264059398374,4.41,14.0,0.07,142498,219,2272,39082.5,32289
PR,en,"Mysteries and miracle-plays, English;Moralities, English;English drama -- To 1500;Bible plays, English","""Everyman,"" with other interludes, including eight miracle plays",Text,519,19481,777,https://www.gutenberg.org/ebooks/19481,0,0,Unknown,6,"October 6, 2006",10,October,2006,9,"image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",10.1,10.55,6.28,6451,6.4,79.6,8.8,14.5,3.1,0.15251314359664556,0.5025945438355118,4.85,17.0,0.06,275211,841,3281,71472.6,56715
PR,en,"Detective and mystery stories, English;Short stories;Fiction",The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Text,518,2038,780,https://www.gutenberg.org/ebooks/2038,0,0,Unknown,4,"June 4, 2005",6,June,2005,9,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",8.3,9.34,5.95,12427,5.6,81.63,8.0,6.0,3.1,0.0748020447725204,0.4856628497912022,4.64,15.0,0.06,580220,2812,7923,166939.2,125114
PG,en,"Russian fiction -- Translations into English;Dostoyevsky, Fyodor, 1821-1881 -- Translations into English","White Nights and Other Stories: The Novels of Fyodor Dostoevsky, Volume X",Text,517,36034,782,https://www.gutenberg.org/ebooks/36034,1821,1881,"Dostoyevsky, Fyodor",5,"May 5, 2011",5,May,2011,8,"text/html; charset=iso-8859-1,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",9.2,9.51,5.88,10485,7.6,71.14,8.8,8.0,3.1,0.08991930319120311,0.5228010014502227,4.67,17.0,0.06,552879,3243,6828,160288.2,118405
PA,en,"Rome -- Fiction;Satire, Latin -- Translations into English",The Satyricon — Volume 02: Dinner of Trimalchio,Text,517,5219,783,https://www.gutenberg.org/ebooks/5219,20,66,Petronius Arbiter,22,"May 22, 2004",5,May,2004,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",11.8,9.87,6.92,2669,8.3,74.53,10.8,8.0,3.1,0.10181995578452943,0.4932589862774186,4.63,22.0,0.04,89032,362,843,25479.9,19213
PR,en,"England -- Social life and customs -- Fiction;Love stories, English",The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,Text,514,31100,785,https://www.gutenberg.org/ebooks/31100,1775,1817,"Austen, Jane",25,"January 25, 2010",1,January,2010,6,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",11.3,10.5,1.66,33092,8.7,68.1,10.0,29.0,3.1,0.1422975167076866,0.5317648296850239,4.79,20.0,0.05,3720159,25224,38194,1079247.6,777121
PT,en,Poetry,Poems,Text,513,38594,786,https://www.gutenberg.org/ebooks/38594,1875,1926,"Rilke, Rainer Maria",17,"January 17, 2012",1,January,2012,8,"text/html; charset=utf-8,text/plain; charset=us-ascii,text/plain; charset=utf-8,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",16.3,12.07,7.66,1709,11.8,59.98,13.200000000000001,20.0,3.1,0.1268570039042375,0.49956476109137765,5.01,28.0,0.04,51223,285,362,14119.2,10230
B,en,Philosophy,The Life of Reason: The Phases of Human Progress,Text,512,15000,788,https://www.gutenberg.org/ebooks/15000,1863,1952,"Santayana, George",14,"February 14, 2005",2,February,2005,9,"text/html,text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",16.2,13.81,6.06,23866,13.0,46.1,12.0,6.5,8.8,0.13461651034901076,0.5098036613943464,5.31,25.0,0.04,1686496,23009,12555,513038.7,317450
PQ,en,"Submarines (Ships) -- Fiction,Science fiction,Sea stories,Underwater exploration -- Fiction",Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Text,511,2488,789,https://www.gutenberg.org/ebooks/2488,1828,1905,"Verne, Jules",1,"January 1, 1870",1,January,1870,6,"text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",10.7,12.06,6.04,14773,7.2,72.16,8.4,6.0,3.1,0.08302148404156265,0.4781636148509944,5.11,16.0,0.06,738533,4730,8940,208071.0,144604
PR,en,"English drama;Historical drama;Timur, 1336-1405 -- Drama;Tragedies",Tamburlaine the Great — Part 1,Text,510,1094,790,https://www.gutenberg.org/ebooks/1094,1564,1593,"Marlowe, Christopher",1,"November, 1997",11,November,1997,7,"application/rdf+xml,text/plain; charset=us-ascii,text/plain,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",11.2,12.58,6.64,3466,6.0,80.62,8.4,5.0,3.1,0.1583532907991535,0.5455780288177369,5.2,16.0,0.06,128897,402,1526,33333.3,24765
PT,en,"Norwegian drama -- Translations into English,Architects -- Drama",The Master Builder,Text,510,4070,792,https://www.gutenberg.org/ebooks/4070,1828,1906,"Ibsen, Henrik",1,"May, 2003",5,May,2003,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8.0,11.46,5.8,3121,3.3,87.72,5.6000000000000005,11.0,3.1,0.07363803377080269,0.5092071055972305,5.21,9.0,0.1,149464,524,2920,37348.2,28713
PT,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House,Text,508,15492,795,https://www.gutenberg.org/ebooks/15492,1828,1906,"Ibsen, Henrik",29,"March 29, 2005",3,March,2005,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",6.0,8.79,5.56,2390,3.7,86.71,6.0,3.5,3.1,0.02778539327600929,0.5796285515855477,4.75,10.0,0.1,125711,377,2627,33739.2,26487
PR,en,"Conduct of life -- Fiction,Humorous stories,Germany -- Fiction,Satire,Clothing and dress -- Fiction,Philosophers -- Fiction,Didactic fiction",Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,Text,507,1051,796,https://www.gutenberg.org/ebooks/1051,1795,1881,"Carlyle, Thomas",1,"September, 1997",9,September,1997,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",18.8,13.7,7.96,14156,14.2,48.47,14.4,19.0,8.8,0.09288454489808681,0.48799389152656836,5.24,31.0,0.03,419819,4111,2582,120520.8,80184
PJ,en,"Epic poetry, Assyro-Babylonian",An Old Babylonian Version of the Gilgamesh Epic,Text,506,11000,797,https://www.gutenberg.org/ebooks/11000,1866,1925,"Clay, Albert Tobias",4,"July 4, 2006",7,July,2006,6,"text/html,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",13.4,13.69,6.75,5088,8.3,69.11,9.600000000000001,9.0,3.1,0.06174681603589338,0.42854842149029204,5.34,19.0,0.05,197157,1657,1912,53425.8,36952
CT,en,"Philanthropists -- United States -- Biography;Carnegie, Andrew, 1835-1919;Industrialists -- United States -- Biography",Autobiography of Andrew Carnegie,Text,505,17976,798,https://www.gutenberg.org/ebooks/17976,1835,1919,"Carnegie, Andrew",13,"March 13, 2006",3,March,2006,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",10.3,10.79,6.01,11297,7.6,71.14,8.8,14.0,3.1,0.16792223990467164,0.4858677640257155,4.89,17.0,0.06,571703,4130,6692,164034.9,116938
PS,en,"Cowboys -- Fiction,Wyoming -- Fiction,Western stories,Vigilantes -- Fiction,Cattle stealing -- Fiction",The Virginian: A Horseman of the Plains,Text,502,1298,801,https://www.gutenberg.org/ebooks/1298,1860,1938,"Wister, Owen",1,"May, 1998",5,May,1998,6,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",7.4,9.45,5.68,11472,4.8,83.66,7.2,13.5,3.1,0.09713736958517312,0.47803747211148445,4.71,13.0,0.07,608632,2116,9653,169119.9,129298
PA,en,"Agricola, Gnaeus Julius, 40-93;Germanic peoples -- Early works to 1800;Statesmen -- Rome -- Biography -- Early works to 1800",The Germany and the Agricola of Tacitus,Text,502,7524,802,https://www.gutenberg.org/ebooks/7524,56,117,"Tacitus, Cornelius",1,"February, 2005",2,February,2005,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",14.9,12.65,7.3,7654,11.5,55.58,11.600000000000001,7.0,8.8,0.10412632269731245,0.4594809276293613,5.11,24.0,0.04,249362,2099,1990,71808.3,48789
E201,en,"Monarchy,United States -- Politics and government -- 1775-1783,Political science",Common Sense,Text,501,3755,803,https://www.gutenberg.org/ebooks/3755,1737,1809,"Paine, Thomas",1,"February, 2003",2,February,2003,7,"text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",16.9,11.73,7.65,3123,13.8,49.49,14.0,5.5,8.8,0.0854058966046603,0.4497163136509274,4.9,30.0,0.03,95718,800,641,28330.2,19521
